,threshold,accuracy,precision,recall,f1
default (0.5),0.5,0.9012699713232282,0.719626168224299,0.6047120418848168,0.6571834992887624
"optimal (PR curve, OOF)",0.3558282208588957,0.8938959442851291,0.654911838790932,0.680628272251309,0.6675224646983312
