model,fit_time_sec_mean,score_time_sec_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,fit_time_full_train_sec,predict_time_test_sec,accuracy_test,f1_test,roc_auc_test
K-Nearest Neighbors,0.02674560546875,0.28849043846130373,0.8543636104186078,0.6995280616358783,0.11860495017679203,0.2027923277666149,0.7559209179051402,0.029413012000077288,0.24621254800058523,0.8541581319131504,0.21238938053097345,0.7448603881821348
Naive Bayes (Gaussian),0.026763916015625,0.024114561080932618,0.24948922632687837,0.17073759242966605,0.9855866280938604,0.2910511322597552,0.5864645024568503,0.03663003499968909,0.007260115000462974,0.24498156493240475,0.2886916248552682,0.5812935929351157
Decision Tree,0.06601862907409668,0.021615886688232423,0.8437113352303728,0.4999953582231015,0.7398392799742848,0.5965419375110931,0.834169878449164,0.10577234399988811,0.005224625999289856,0.8533387955755838,0.6108695652173913,0.8257979906883075
XGBoost,0.20022172927856446,0.028667402267456055,0.8638882068780271,0.5427986073457689,0.821099324975892,0.653417186188902,0.9296098291659781,0.2311135039999499,0.007258515000103216,0.8639901679639492,0.6619144602851323,0.9369490094566315
LightGBM,0.2106245517730713,0.04415473937988281,0.8798652556386559,0.5881270024101333,0.777188471016822,0.6692527516171694,0.9271893902960325,0.24430927600042196,0.01768919599999208,0.8730028676771815,0.6637744034707158,0.930885729615098
Logistic Regression,0.31691594123840333,0.04857630729675293,0.8451464434707429,0.5033677582040147,0.7516532733311904,0.6028432255427834,0.8961847615240484,0.4017831979999755,0.004167713999777334,0.8463744367062679,0.6185147507629705,0.9083375501247237
Random Forest,0.745627498626709,0.06928706169128418,0.8650148363593632,0.545431617021819,0.8237201328618878,0.6560226959341234,0.9234538088101344,0.8208543869995992,0.028371031999995466,0.8684965178205654,0.664576802507837,0.9266443579331196
