model,fit_time_sec_mean,fit_time_sec_std,score_time_sec_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,fit_time_full_train_sec,predict_time_test_sec,accuracy_test,f1_test,roc_auc_test
K-Nearest Neighbors,0.014907503128051757,0.00040895242153587345,0.1744232177734375,0.8543636104186078,0.6995280616358783,0.11860495017679203,0.2027923277666149,0.7559209179051402,0.013455430000021806,0.11788234700003386,0.8541581319131504,0.21238938053097345,0.7448603881821348
Naive Bayes (Gaussian),0.018533802032470702,0.0003531287944152565,0.019547796249389647,0.24948922632687837,0.17073759242966605,0.9855866280938604,0.2910511322597552,0.5864645024568503,0.01998000500003627,0.0047449049999954696,0.24498156493240475,0.2886916248552682,0.5812935929351157
Decision Tree,0.08234710693359375,0.014154638120555896,0.017012548446655274,0.8444281811085089,0.5015590143077607,0.7398392799742848,0.597635893860418,0.8343968798816009,0.13214562000001706,0.003698853000003055,0.854977468250717,0.6152173913043478,0.830007577510559
Logistic Regression,0.2455512523651123,0.026260648085681532,0.03792815208435059,0.8451464434707429,0.5033677582040147,0.7516532733311904,0.6028432255427834,0.8961847615240484,0.25780868900000087,0.00776922900001864,0.8463744367062679,0.6185147507629705,0.9083375501247237
Random Forest,0.8363469123840332,0.020436973624770823,0.06528153419494628,0.8750517279007497,0.5725388352561052,0.7961962927247401,0.6657251047238719,0.9211614274347237,0.9531309189999888,0.03126135899998417,0.876689881196231,0.6703176341730559,0.9254810320671093
